Number of Trees,M,Fold1,Fold2,Fold3,Fold4,Fold5
200,95,0.4125,0.416666667,0.35,0.345833333,0.366666667
400,95,0.4375,0.429166667,0.375,0.345833333,0.375
600,95,0.4375,0.420833333,0.358333333,0.329166667,0.375
200,190,0.395833333,0.366666667,0.3375,0.333333333,0.3625
400,190,0.408333333,0.375,0.320833333,0.308333333,0.3375
600,190,0.3875,0.379166667,0.329166667,0.304166667,0.358333333
200,380,0.379166667,0.341666667,0.329166667,0.3,0.35
400,380,0.395833333,0.358333333,0.341666667,0.283333333,0.35
600,380,0.383333333,0.3625,0.3375,0.283333333,0.35
